row_index,work_id,field_id,field_display_name,subfield_id,subfield_display_name,publication_year,illustration_eligible,k10_mean,k10_min,k10_max,k25_mean,k25_min,k25_max,k50_mean,k50_min,k50_max,k25_omission_min,k25_omission_max,gi,qi,tail,native_field_period_candidates,native_field_period_k25_mean,native_field_period_k25_adjusted,native_field_period_k25_leave_one_min,native_field_period_k25_leave_one_max,native_field_period_k25_leave_family_min,native_field_period_k25_leave_family_max,native_field_period_k25_within_search_percentile,native_subfield_candidates,native_subfield_k25_mean,native_subfield_k25_adjusted,native_subfield_k25_leave_one_min,native_subfield_k25_leave_one_max,native_subfield_k25_leave_family_min,native_subfield_k25_leave_family_max,native_subfield_k25_within_search_percentile
292167,W2022976570,27,Medicine,2717,Geriatrics and Gerontology,2011,True,0.5953333333333333,0.5444444444444445,0.6666666666666667,0.7926222222222222,0.7671111111111111,0.8240000000000001,0.8512444444444445,0.7866666666666667,0.8862222222222222,0.7504761904761905,0.8666666666666667,134,36,higher,15771,0.29866666666666664,0.29755308563565147,0.2833333333333334,0.33000000000000007,0.29142857142857154,0.3626666666666667,0.7969374167776299,399,0.7333333333333333,0.7154602323503128,0.7255555555555556,0.7422222222222223,0.7238095238095239,0.768,0.9974937343358395
452340,W2998141762,26,Mathematics,2604,Applied Mathematics,2019,True,0.5551111111111111,0.4644444444444445,0.6133333333333334,0.8409777777777778,0.7511111111111112,0.8737777777777778,0.7249777777777778,0.644,0.8791111111111111,0.7366666666666667,0.9093333333333333,116,44,higher,2166,0.43199999999999994,0.4253644859813083,0.418888888888889,0.4566666666666667,0.43142857142857144,0.4876190476190476,0.8910433979686058,2269,0.3671111111111111,0.3600570664288899,0.35444444444444456,0.38222222222222224,0.3614285714285714,0.41866666666666674,0.8512560599382988
418941,W2359252036,18,Decision Sciences,1800,General Decision Sciences,2002,True,0.6122222222222222,0.5599999999999999,0.6622222222222222,0.7688,0.7466666666666667,0.7884444444444445,0.7040888888888889,0.6746666666666666,0.7346666666666667,0.7366666666666667,0.8171428571428571,61,24,higher,2166,0.35377777777777775,0.3462284527518172,0.33666666666666667,0.37,0.35238095238095246,0.4053333333333333,0.6567405355493998,322,0.7306666666666667,0.7079189189189189,0.7244444444444444,0.7411111111111113,0.7295238095238096,0.7706666666666667,0.9627329192546584
158371,W3107610255,26,Mathematics,2607,Discrete Mathematics and Combinatorics,2020,True,0.6646666666666666,0.6,0.7533333333333333,0.7817777777777778,0.7404444444444445,0.8240000000000001,0.6447111111111111,0.5755555555555556,0.6915555555555555,0.72,0.8533333333333333,117,7,higher,2166,0.30933333333333335,0.3012647975077882,0.2944444444444444,0.33888888888888885,0.28,0.36761904761904773,0.5193905817174516,422,0.7377777777777776,0.7212233445566778,0.7311111111111113,0.7455555555555556,0.7276190476190476,0.7657142857142858,1.0
115771,W2252942328,33,Social Sciences,3311,Safety Research,2012,True,0.6091111111111112,0.5555555555555556,0.6911111111111111,0.782488888888889,0.7208888888888889,0.8328888888888889,0.7192444444444445,0.6506666666666666,0.7835555555555556,0.6914285714285714,0.859047619047619,192,17,higher,7110,0.3973333333333333,0.3952064746847355,0.3788888888888889,0.41222222222222227,0.35809523809523824,0.4533333333333333,0.9656118143459915,920,0.5751111111111111,0.563229430773055,0.5633333333333334,0.5944444444444446,0.5390476190476191,0.6323809523809524,0.9521739130434783
202613,W2081778888,22,Engineering,2213,"Safety, Risk, Reliability and Quality",2011,True,0.5677777777777777,0.5111111111111111,0.6533333333333333,0.7642666666666668,0.7084444444444444,0.8515555555555555,0.7705777777777778,0.708,0.8440000000000001,0.6952380952380952,0.8723809523809524,90,17,higher,15203,0.5235555555555556,0.5227707422781548,0.5077777777777779,0.5477777777777778,0.5257142857142858,0.5946666666666668,0.9922054857593896,1516,0.40177777777777773,0.3917404921700223,0.39222222222222225,0.4155555555555556,0.3828571428571429,0.4693333333333334,0.6998680738786279
99305,W2011180849,33,Social Sciences,3320,Political Science and International Relations,2003,True,0.11822222222222223,0.08444444444444445,0.1511111111111111,0.18666666666666668,0.1608888888888889,0.20977777777777779,0.28746666666666665,0.252,0.30977777777777776,0.13857142857142857,0.2819047619047619,200,9,lower,2776,0.1048888888888889,0.09675151515151517,0.0888888888888889,0.12444444444444445,0.09142857142857144,0.13904761904761906,0.0036023054755043226,5192,0.06577777777777778,0.06125676431367488,0.05777777777777778,0.07222222222222224,0.061428571428571443,0.09523809523809523,0.0003852080123266564
202595,W7045581866,31,Physics and Astronomy,3106,Nuclear and High Energy Physics,2004,True,0.16355555555555554,0.13777777777777778,0.18888888888888888,0.2144,0.192,0.23733333333333334,0.31066666666666665,0.2902222222222222,0.3306666666666667,0.15466666666666667,0.34857142857142853,176,22,lower,2166,0.3848888888888889,0.37770301142263757,0.36888888888888893,0.41666666666666674,0.3493333333333334,0.47809523809523824,0.817174515235457,2490,0.14400000000000002,0.13531493506493508,0.11333333333333334,0.17111111111111116,0.07466666666666667,0.23809523809523808,0.023092369477911646
327954,W1966552042,25,Materials Science,2503,Ceramics and Composites,2006,True,0.18133333333333332,0.13999999999999999,0.2088888888888889,0.23217777777777782,0.21333333333333332,0.24444444444444444,0.35244444444444445,0.3297777777777777,0.36577777777777776,0.19555555555555557,0.35733333333333334,110,36,lower,2166,0.24355555555555553,0.23471858774662507,0.22222222222222227,0.28777777777777774,0.21285714285714288,0.3352380952380952,0.28647276084949214,351,0.208,0.14707692307692308,0.19777777777777789,0.2244444444444445,0.21523809523809526,0.3066666666666667,0.005698005698005698
93549,W4234898602,27,Medicine,2731,Ophthalmology,2010,True,0.1408888888888889,0.08888888888888888,0.19777777777777777,0.22204444444444443,0.19911111111111113,0.2577777777777778,0.3197333333333333,0.2942222222222222,0.35155555555555557,0.152,0.30476190476190473,144,8,lower,15771,0.11022222222222224,0.10880942803711938,0.08777777777777779,0.12777777777777782,0.08285714285714285,0.1619047619047619,0.012237651385454315,1217,0.12177777777777779,0.10334322231551452,0.10555555555555557,0.13555555555555557,0.09714285714285716,0.1619047619047619,0.0024650780608052587
