tail,row_index,subfield_id,field_id,period_start,scope,k,mean_over_repeats,min_over_repeats,max_over_repeats,repeats,work_id,field_display_name,subfield_display_name,range_over_repeats
lower,99305,3320,33,2000,subfield,25,0.18666666666666668,0.1608888888888889,0.20977777777777779,10,W2011180849,Social Sciences,Political Science and International Relations,0.0488888888888889
lower,257552,1306,13,2005,subfield,25,0.2016,0.18488888888888888,0.24088888888888887,10,W2810656677,"Biochemistry, Genetics and Molecular Biology",Cancer Research,0.055999999999999994
lower,18119,1213,12,2015,subfield,25,0.2032888888888889,0.1928888888888889,0.22844444444444445,10,W2738073400,Arts and Humanities,Visual Arts and Performing Arts,0.03555555555555556
lower,136341,1907,19,2015,subfield,25,0.20924444444444443,0.19111111111111112,0.23466666666666666,10,W2943440865,Earth and Planetary Sciences,Geology,0.04355555555555554
lower,202595,3106,31,2000,subfield,25,0.2144,0.192,0.23733333333333334,10,W7045581866,Physics and Astronomy,Nuclear and High Energy Physics,0.04533333333333334
lower,307785,3314,33,2010,subfield,25,0.21484444444444445,0.20355555555555555,0.2311111111111111,10,W2154505761,Social Sciences,Anthropology,0.027555555555555555
lower,374935,1210,12,2020,subfield,25,0.22160000000000002,0.184,0.2542222222222222,10,W7134385494,Arts and Humanities,Music,0.07022222222222219
lower,332208,3316,33,2015,subfield,25,0.22168888888888888,0.1902222222222222,0.24977777777777777,10,W3134275606,Social Sciences,Cultural Studies,0.059555555555555556
lower,93549,2731,27,2010,subfield,25,0.22204444444444443,0.19911111111111113,0.2577777777777778,10,W4234898602,Medicine,Ophthalmology,0.058666666666666645
lower,307413,1907,19,2005,subfield,25,0.22364444444444445,0.20355555555555555,0.23733333333333334,10,W2320176315,Earth and Planetary Sciences,Geology,0.033777777777777795
lower,310735,1213,12,2015,subfield,25,0.22906666666666667,0.21066666666666667,0.2524444444444444,10,W6994269234,Arts and Humanities,Visual Arts and Performing Arts,0.04177777777777775
lower,399080,3109,31,2015,subfield,25,0.23057777777777777,0.1822222222222222,0.25955555555555554,10,W1976939705,Physics and Astronomy,Statistical and Nonlinear Physics,0.07733333333333334
lower,138639,1203,12,2020,subfield,25,0.23200000000000004,0.2,0.272,10,W4380837234,Arts and Humanities,Language and Linguistics,0.07200000000000001
lower,327954,2503,25,2005,subfield,25,0.23217777777777782,0.21333333333333332,0.24444444444444444,10,W1966552042,Materials Science,Ceramics and Composites,0.031111111111111117
lower,361311,2602,26,2005,subfield,25,0.23608888888888888,0.21866666666666668,0.27644444444444444,10,W2076716239,Mathematics,Algebra and Number Theory,0.05777777777777776
lower,159376,1604,16,2005,subfield,25,0.23946666666666666,0.20444444444444443,0.264,10,W2348375306,Chemistry,Inorganic Chemistry,0.059555555555555584
lower,161401,2741,27,2010,subfield,25,0.24017777777777774,0.20177777777777778,0.27466666666666667,10,W1559061787,Medicine,"Radiology, Nuclear Medicine and Imaging",0.07288888888888889
lower,202201,2502,25,2015,subfield,25,0.2456888888888889,0.22044444444444444,0.2728888888888889,10,W3002967743,Materials Science,Biomaterials,0.05244444444444446
lower,493235,3506,35,2010,subfield,25,0.2464,0.21866666666666668,0.2862222222222222,10,W2080829814,Dentistry,Periodontics,0.06755555555555554
lower,401417,1207,12,2000,subfield,25,0.2496888888888889,0.23199999999999998,0.2737777777777778,10,W259308528,Arts and Humanities,History and Philosophy of Science,0.0417777777777778
lower,14405,1712,17,2000,subfield,25,0.2496888888888889,0.22844444444444445,0.25955555555555554,10,W2117277818,Computer Science,Software,0.03111111111111109
lower,187601,3314,33,2000,subfield,25,0.2503111111111111,0.22933333333333333,0.27644444444444444,10,W48742734,Social Sciences,Anthropology,0.047111111111111104
lower,147209,1504,15,2020,subfield,25,0.2512,0.21955555555555556,0.2648888888888889,10,W3179376578,Chemical Engineering,Chemical Health and Safety,0.04533333333333334
