metric,subfield_id,field_id,value_2000,value_2005,value_2010,value_2015,value_2020,endpoint_change,all_four_steps_increase
cka,1103,11,0.6277380561373966,0.5746469254528597,0.6313274301499465,0.6478806848346368,0.6153183015376327,-0.012419754599763966,False
cka,1105,11,0.6783921338332481,0.6970979450568366,0.6998586519191116,0.7079415795202993,0.7092800451226073,0.030887911289359193,True
cka,1106,11,0.59849830092433,0.6248897756575327,0.5770699664284459,0.6524956397718685,0.6668254735818597,0.06832717265752974,False
cka,1109,11,0.571902653856257,0.6089375366870241,0.6194137769050461,0.6329849696711612,0.6289198347067172,0.05701718085046015,False
cka,1110,11,0.5865682974927763,0.6013402718784595,0.6394959480361079,0.6379022354230391,0.6430030836122438,0.056434786119467506,False
cka,1202,12,0.4952754078762047,0.4951489804042204,0.489785747727981,0.5653770020900247,0.5589508336525801,0.06367542577637542,False
cka,1203,12,0.5819348691463956,0.614748927325592,0.6087350028753498,0.6740603601671116,0.6678415396115587,0.08590667046516309,False
cka,1204,12,0.5702550254727715,0.5540800482076669,0.5875422459843439,0.6026766349826739,0.6529415624682234,0.08268653699545192,False
cka,1208,12,0.5454596629780413,0.5891178428140948,0.6248772118473386,0.6602896101390131,0.707381466081768,0.16192180310372672,True
cka,1211,12,0.7274626123733339,0.6756073530181965,0.6979105026104774,0.6886357406323856,0.7275888269526679,0.00012621457933403857,False
cka,1306,13,0.628691492877009,0.5762538107139156,0.5717636957341368,0.5571970402957284,0.6231949681687194,-0.005496524708289541,False
cka,1307,13,0.7393920155898114,0.7147661389092895,0.714603850447872,0.6916351272870634,0.745590862698709,0.0061988471088976205,False
cka,1311,13,0.6714057819670671,0.6396741211466525,0.6752305888797208,0.6698341348733758,0.6554229382912902,-0.01598284367577696,False
cka,1312,13,0.6075000628064221,0.6014347405985563,0.6296934403396133,0.6349234044615447,0.6382692155761529,0.0307691527697308,False
cka,1402,14,0.6203853766994417,0.5811733227816117,0.5860937229780275,0.5890472811711936,0.6148083704200045,-0.005577006279437247,False
cka,1404,14,0.6900098033635127,0.646908848572327,0.6266009069853375,0.6416596393500638,0.5922537750746991,-0.09775602828881358,False
